rnbq1rk1/p3bppp/5n2/2pp4/8/2N1PN2/PP2BPPP/R1BQ1RK1 w - -,80
1r3rk1/3bqpp1/1ppp3p/p7/P1PPPnP1/4NB2/2QB1PP1/1R3RK1 b - -,430
8/1p4k1/p7/b7/4P1Bp/5K2/2P5/8 w - -,-10
r1bqk2r/pppp1ppp/5n2/4n3/2PP4/P5P1/5P1P/R1BQKBNR b KQkq -,384
r4rk1/pBp3bp/4bnp1/4pp2/2P5/P1N3P1/1P2PP1P/R1BR2K1 b - -,-34
r2q1rk1/pp1bbp2/3p1n1p/2pP4/2P5/6P1/PP2PPBP/R2QK1NR w KQ -,-287
rnbqk1nr/ppp2pbp/6p1/3pPp2/3P4/5N2/PPP3PP/RN1QKB1R w KQkq -,-374
5r1k/2pbq1pp/8/2p2p2/P2P4/2P2R2/Q5PP/6K1 w - -,-421
r3kb1r/1p1n1ppp/p2p4/2pPp3/4n1Bq/2P5/PP3PPP/RNBQ1RK1 w kq -,60
r1bq1rk1/pp2b1pp/2n1pp2/2p5/2P3n1/PPN2NP1/4PPBP/R1BQ1RK1 b - -,0
6k1/1p4pp/p7/3r1p2/8/1P4P1/P6P/3K1B2 w - -,-407
r1b1kbnr/1p2nppp/pq2p3/3P4/3p1P2/2N2N2/PPP1B1PP/R1BQK2R w KQkq -,116
r2qkb1r/pp3ppp/2n1n3/2p5/4N3/3P4/PP3PPP/2RQKB1R w Kkq -,-445
8/8/3b4/p6B/7P/4P1P1/1Bbk1K2/8 b - -,100
r1bq1rk1/pp2ppb1/3p1np1/6N1/2Pn4/2N4P/PP2BPP1/R3QRK1 w - -,-422
5r2/8/1pR5/8/1p6/1r2k1P1/3R2K1/8 w - -,17
r1bq1rk1/pp1n2bp/2p3p1/4pp2/2P5/P1P1BNP1/4PPBP/R2Q1RK1 b - -,-139
6k1/p2pqpp1/5n1p/1Qp5/8/n5P1/P3PP1P/5RK1 w - -,-296
8/pp6/6k1/4Rp2/P7/1P2K3/2P2P2/3r4 w - -,203
r1bqk2r/1p1n1pbp/p2p2p1/2pP3n/4P3/P1N2N1P/1PP2PP1/R2QKB1R w KQkq -,-267
r1bq1rk1/1p1nbppp/p1n1p3/2ppP3/3P4/P1P2N1P/1P1NBPP1/R1BQ1RK1 w - -,49
r3kb1r/pp1npppp/8/3p1b2/3P1B2/4P2P/PP1K1PP1/2R2BNR w kq -,145
r2q1rk1/p4pb1/npp2ppp/3p4/3P2b1/4QNP1/PPPNPPBP/R4RK1 w - -,89
r1b4r/ppp1kpp1/5n1p/8/1n1P4/2NB4/PP2KPPP/3R2NR w - -,39
8/5pk1/2P2bpp/r3p3/4P3/1P3PP1/4BK1P/3R4 b - -,305
r2qkb1r/pQ1npppb/5n1p/3p4/3P1BP1/2N1PN1P/PP2BP2/R3K2R b KQkq -,100
rn2k2r/2p1bppp/2b5/pp2p3/P5n1/2N2N2/1PP1PPBP/R1BR2K1 b kq -,-122
r1bqk2r/pppn1pp1/7p/3P4/1b1P4/5NP1/PP1N1PP1/R2QKB1R b KQkq -,23
8/5pk1/8/3b4/p6P/1p6/1Br1RKP1/8 b - -,-128
3rb1k1/p6p/6p1/2pP1p2/2B2p2/P6P/5PP1/1R4K1 b - -,-85
5rk1/pb4p1/2n4p/1NQ5/4p3/2P1P1qP/PP4B1/3R2K1 b - -,-450
rnbq1rk1/pp4pp/2pb1n2/3p1p2/P2P4/6P1/1P1BPPBP/RN1QNRK1 b - -,-93
2r2rk1/ppN1nppp/5q2/8/3p4/3B4/PPPQ1PPP/3R2K1 w - -,-96
3q1rk1/p4p2/1p2b1pp/4Q3/4B3/P5P1/1P3P1P/2R3K1 b - -,-30
2r2rk1/pp2pp1p/3q2p1/3p1b2/3R4/1PB3PP/P3PPB1/4QRK1 b - -,368
rn1qkb1r/pp2pp1p/6p1/1b2P3/8/2Q5/PP3PPP/R1B1K1NR w KQkq -,-388
rnbqk2r/1pp2ppp/4pn2/pPB5/2P5/P4N2/3PPPPP/RN1QKB1R b KQkq -,394
r2r4/pp2N1kp/5pp1/2P5/PP1b4/3R4/2P3PP/1R4K1 w - -,107
r2qkbnr/pp3pp1/6b1/3pB3/6p1/1P1P3P/P2NPP2/R2QKB1R w KQkq -,31
rn3rk1/pb5p/4q1pQ/1Bpp4/4pP2/1P2P3/P2N2PP/R4RK1 b - f3,-31
r2qk2r/pp1nbppp/5n2/4p3/8/4BP1P/PPP2PP1/R2QKB1R w KQkq -,-270
4b1k1/8/6pp/8/2Pq1PQ1/1P5P/6K1/8 w - -,-219
8/1p4p1/4k2p/2p4P/P1P2PP1/3K4/8/8 b - -,145
8/7B/1p1k1p2/3p3p/7P/1Pb2K2/5P2/8 b - -,-48
8/1pbr2p1/2p2pkp/8/1P1Bb3/4P1PP/4BP2/2R3K1 b - -,-48
r1bq1rk1/ppp2pB1/2np2pp/8/2P3P1/1P1Bn2P/P4P2/R2QK1NR w KQ -,-201
r1bq1rk1/pp2bppn/4p3/2np4/5B2/2P1PN2/PPQ2PPP/RN3RK1 w - -,-287
