FEN
r1b2rk1/4qpp1/p3pbP1/1p2p3/4P3/2N3QB/PPP4P/2K2RR1 w - - 5 21,e8f8
rnbqk2r/ppp1bppp/8/2np4/3P4/5N2/PPP1BPPP/RNBQ1RK1 b kq - 0 8,d2d4
4r3/1pq3k1/p2bp1p1/3p2P1/2pPn3/2P1B2R/PP2Q1P1/5RK1 w - - 1 31,f6e4
r1b1k2r/p1pnqppp/1p2pb2/8/3PN3/2PB1N2/PP2QPPP/R3K2R b KQkq - 1 10,d1e2
2n5/2R4p/P5p1/r2k4/8/6P1/3K4/8 b - - 3 49,b7c7
8/2qk1p2/4p3/p2pPp1p/Pr1B1P2/bP5P/4Q1P1/5RK1 w - - 3 31,b8b4
r1bq1rk1/ppn2pp1/3b1n1p/2pP4/8/P1NB4/1P2NPPP/R1BQ1RK1 w - - 3 15,d7f6
2R5/6kp/6p1/3q1p2/1p1r4/7P/1PQ3P1/7K w - - 8 37,b7d5
6k1/4rp1p/3B2p1/4b1P1/4P3/7P/6K1/8 w - - 0 41,e8e7
3rkq2/pp3p2/2p1b1r1/8/4P1pQ/2N1R1P1/PPP1BP2/2K5 w - - 11 30,g5g6
3r1rk1/p4p2/2pP2p1/1pNbP2p/1P1Q1Pq1/P7/3R2P1/5BK1 w - - 1 34,g5g4
b7/4kp1p/p6N/Np2n1P1/4P3/4K3/PP6/8 w - - 1 40,d8e7
8/6k1/2R3n1/8/2B3r1/4K1P1/5P2/8 w - - 13 64,f6g7
N1b1k2r/3n1pbp/p3p3/1p3p2/3p1P2/5B2/P1P3PP/1R3R1K b k - 1 19,e2f3
r1bqk2r/pp2bppp/2nppn2/2p5/4P3/1BPP1N2/PP3PPP/RNBQK2R w KQkq - 1 7,f8e7
1R6/2r3kp/6p1/p1pB1pP1/2Pn4/1P5P/4r1P1/5R1K b - - 2 32,b6b8
1qr1b1k1/5ppp/rB2p3/P7/4P1PP/1PN2P2/1KP2Q2/3R4 b - - 0 25,a4a5
