r1bq1k1r/p4pp1/1pn5/2ppPp1p/3P3P/P1P3Q1/2P2PP1/R1B1K1NR w KQ - 1 13,c1g5
r4r2/p5pk/1p1q4/3P1p2/8/5Q2/P4PPP/2R2RK1 b - - 1 21,g7g6
r1b1r3/pp3qkp/2n2pp1/2B1p3/4PP2/5N1P/P1P1Q1P1/1R1R2K1 w - - 0 23,f4e5
4k2r/1b2b1pp/pB1r4/P3pp2/1pq5/1P2PP2/5NPP/R4RK1 w k - 0 24,b3c4
2k5/1pp1b3/4p3/nP3b1Q/R1PpNP1p/1q1P3P/6P1/5RK1 b - - 0 28,b3a4
bqr2bk1/r2n1ppp/pp1ppn2/5P2/2PNP3/1PN3P1/P4BBP/2RQR1K1 b - - 0 17,c8e8
8/5nkp/P1r2pp1/2rNp3/1pB1P3/1Pb4P/2R2PP1/2R4K w - - 1 43,c2a2
rnbq1rk1/ppp1bppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w - - 0 7,d1c2
r4rk1/pp3ppp/2n5/5q2/2BPp2P/1QB5/PP1N1n2/2K3R1 w - - 0 18,d4d5
1Q1R1n1k/1p3qpp/8/4p2r/8/5PP1/P6P/4R1K1 b - - 4 35,h8g8
2r2k2/1p2pp1p/1P1p2p1/3P3P/2rB4/pq1B1PPK/R3Q3/8 w - - 0 47,d3c4
5rk1/1bq1rp1p/p2p2p1/1p6/3PPQ2/P7/BP4PP/4RR1K b - - 2 28,c7c2
r1b2rk1/ppp4p/2nq4/2RN2p1/8/1P2P1P1/P4PB1/2Q2RK1 b - - 2 19,g5g4
rn1q1rk1/pb1p1ppp/1p2pn2/2p3B1/2PP4/P1Q1P3/1P3PPP/R3KBNR w KQ - 0 9,d4c5
r4rk1/pbp1qpp1/1p2p2p/3n4/1n1P1P2/2N1P2Q/PP2N1PP/RB2K2R b KQ - 3 14,c7c5
r2q1rk1/pp1n1pbp/2p2np1/4p3/2BP4/2N1PQ1P/PP3PP1/R1BR2K1 w - - 0 12,d4d5
Q3k3/5pp1/4q1p1/p1r1P2r/1pP5/1P6/P5PP/R1R3K1 b - - 1 26,e6c8
8/2k2p2/K4p2/7N/P4P2/3n3P/8/8 w - - 1 45,a6b5
r3kb1r/1pq1nbpp/p2p1p2/4pP2/1P2P3/2N5/P1PQ1BPP/R3KB1R w KQkq - 1 14,b4b5
r4rk1/ppnbqpbp/3p2p1/3Pp3/1PP5/4BN2/P4PPP/1R1QRBK1 b - - 2 15,f8c8
