FEN
8/8/5k1p/8/2B1bp2/8/5P1P/4R1K1 b - - 2 44
r1b1r1k1/ppp2pp1/7p/4Nq2/8/2PBQ3/PP3PPP/2K1R2R b - - 5 16
4r1k1/Q7/4pp2/3p1qp1/3P3p/1P3NBP/P4PPK/8 w - - 0 32
3K4/3PQ2k/2q3p1/p6p/7P/6P1/8/8 b - - 3 61
8/1pp1r1k1/p5p1/2P4p/PP1R2nP/5bP1/1R5K/8 w - - 5 36
r1b2rk1/pp2npbp/1q4p1/8/3ppP2/3P2N1/PPB3PP/R1BQ1RK1 w - - 0 15
r1b1k2r/4qppp/1np1p3/p3P3/2p1NP2/3P1N2/P1P3PP/R2Q1RK1 b kq - 1 14
r2r2k1/p3qpbp/2p3p1/1pPn4/2BPp3/1Q2P2P/P4PPB/R4RK1 w - b6 0 21
r2kr3/1pq1bppp/p2P1n2/4pBB1/2p5/2N2P2/PP2Q1PP/2K1R3 b - - 0 26
1r5r/2k1bp1p/p1bppp2/1p6/3RPP2/2N2B2/PPP3PP/2KR4 w - - 3 18
2r2rk1/pppq1pbn/2npb1p1/3Np2p/1PP2P1N/3P2P1/P2BP1BP/1R1Q1RK1 b - - 0 15
B1q1nrk1/2pb1ppp/p2p4/1p2P3/3B1P1b/2N4P/PPP3P1/R2QK2R w KQ - 1 15
r1bqk2r/4bp1p/p1np1p2/1p1Np3/4P3/N7/PPP2PPP/R2QKB1R w KQkq - 2 11
r1bqk2r/pp2np2/3p2pp/2p1b3/3PP3/2P1B1P1/PP4BP/RN1QK2R b KQkq - 0 11
2n1rr1k/p2q3p/3pPpp1/2p5/1p3N2/5bQ1/PPP3PP/3R1RK1 b - - 0 22
r1bqk2r/p2p1ppp/2p2n2/4p1B1/1bB1P3/2N5/PPP2PPP/R2QK2R b KQkq - 3 8
3r1bk1/1p4qp/p3p1p1/P1p1Np2/2P1bP1P/2P1B1Q1/1P4P1/R5K1 w - - 3 27
2br2k1/2q1npb1/2npp1p1/prp3Bp/2N1P2P/2PP1NP1/1P2QPB1/R3R1K1 b - - 1 17
r1bqk1nr/1p1p1pbp/p3p1p1/2p5/P1BnPP2/2N2N2/1PPP2PP/R1BQK2R w KQkq - 0 8
8/5R2/p2R2pn/2p2p1p/2B1p1kP/N3P1P1/P4PK1/8 b - - 2 44
4r3/p3qk1p/8/2p2r2/1PP2p2/P3p2P/2Q3P1/3R1R1K b - - 3 46
r3k1nr/pp2p1bp/1q4p1/4P1N1/3n2Q1/8/PP4PP/RNB2RK1 b - - 1 13
rn5r/pp1kpPbp/3p2p1/q7/3N1Pn1/2N5/PPP3PP/R1BQK2R b KQ - 0 12
r1bqr1k1/pp1n1pbp/2pp1np1/4p3/4PP2/N1PP1NP1/PP2Q1BP/R1B2RK1 b - - 3 10
2r2r1k/2q1bppp/p2pbn2/1p2n3/3NPB2/P1N3Q1/1PP1B1PP/3R1R1K w - - 1 17
r1br2k1/pp2bpp1/3ppn1p/q7/3QPP1B/2N5/PPP1B1PP/1K1R3R b - - 1 13
8/8/4k2p/1P3pp1/r1P1pP2/1R4PP/1B6/3K2b1 b - - 0 47
rnbqkb1r/1p3ppp/p2p1n2/4p3/3NP3/2N1B3/PPP2PPP/R2QKB1R w KQkq - 0 7
rnb2rk1/1p3pbp/p2p1np1/q1pP4/2P5/2NB4/PP1B1PPP/R1Q1K1NR b KQ - 0 11
r1bq1rk1/pp2nppp/2n1p3/1N1pP3/3P1P2/8/PP1Q2PP/R3KBNR b KQ - 0 10
rn3rk1/pp2qpb1/2p1bnpp/2P1p3/4P3/2N1B3/PPQNBPPP/R4RK1 b - - 0 12
r1bqk1nr/pp3pbp/2npp1p1/2p5/4P3/2NPB1P1/PPP2PBP/R2QK1NR w KQkq - 0 7
4k3/5p1p/p3p3/8/3B1Pb1/3q1N2/3R2PP/4K3 b - - 11 33
r1bq1r1k/pp4bp/4p1pn/5p2/P1P1PP2/5N1P/1P2N1P1/R1BQ1RK1 b - - 0 16
5r1k/R2n1q2/2p4p/2Pp1p2/3P4/6P1/4QP1P/5BK1 w - - 5 33
r1b2rk1/ppp1qppp/2np2n1/1P6/2NPPP2/4B3/P3B1PP/R2Q1RK1 b - - 0 15
rnb2rk1/1pq1bppp/p3p3/8/6P1/2PQ3P/P1P1NPB1/R1BR2K1 w - - 5 15
r1bq1rk1/ppp2pbp/2np1np1/8/2PPp3/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 0 9
2kr3r/p2bq3/1pn1pP1p/3p2pP/2pP4/2P1Q3/P1PKBPPN/1R5R b - - 0 19
r3kbr1/pp3p1p/3ppQ2/q2b4/4P3/2N2N2/PPP2PPP/2K4R w q - 0 13
r1bq1rk1/ppp2ppp/2n2n2/3p4/3PP3/3B1N1P/PP1N1PP1/R2Q1RK1 b - - 1 11
7r/1p2qpk1/p2b2np/3PpQ2/4NpP1/P1R2P2/1P5R/7K b - - 4 36
2r2rk1/1p3ppp/p2p2n1/3N4/P3q1b1/2P5/1P1Q2PP/4RRBK b - - 1 24
rn5r/pp1kpPbp/3p2p1/qNp5/3P1Pn1/5N2/PPP3PP/R1BQK2R w KQ - 1 11
3R1n2/1p1r2k1/p1p1b2p/4Pp2/2PB1P2/1P5B/P4K1P/8 w - - 3 47
8/R7/4kpp1/4p2p/8/3BnP2/3r3P/7K w - - 4 58
r1b1k1nr/ppp2ppp/2p2q2/8/4P3/4P3/PPP3PP/RN1QKB1R w KQkq - 0 8
6k1/R7/4n3/8/6KP/8/8/8 w - - 19 77
2rq1rn1/pb2npkp/1p2p1p1/3pN3/3P1P2/2PB1N1R/PP3QPP/5RK1 b - - 9 18
1r2k3/1q2b1rp/2b1Qp2/5P2/ppB1P1P1/1P5P/P1P5/1K1RR3 w - - 2 30
1k6/p7/1p4R1/5r1p/3r1P2/1K3R2/P7/8 w - - 4 39
r1bq1rk1/1p1nbppp/p2p1n2/8/P3Pp2/2NB1N2/1PP3PP/R1BQ1R1K b - - 1 11
6k1/1prb2pp/p3p3/3pP3/1n1N1P2/5NP1/PP1K3P/7R w - - 0 24
r1b1k2r/2q1bppp/p2ppn2/1p4P1/3NPP2/2N2Q2/PPP4P/2KR1B1R b kq - 0 12
r7/2Bnpk1p/BP2p1p1/8/8/8/4KPbP/2R5 w - - 1 32
r2q1r2/ppnbp1k1/3p1pp1/1Pp5/4P3/2NP1NQ1/1PP3PP/R4RK1 b - - 1 16
1rR5/3k1ppp/4p3/3pP3/p4P2/1P1P1N2/3K2PP/8 b - - 0 35
rn1qk2r/pp2ppb1/2p3pn/3pP2p/3P1Pb1/2N1BN2/PPP3PP/R2QKB1R w KQkq - 4 8
rnbqk2r/ppp2pbp/4p1p1/3P2N1/3P4/2N5/PP1QPPPP/R3KB1R b KQkq - 1 8
rn1qk2r/pp1bp1bp/3pp1p1/1Bp5/3P1Pn1/2N2N2/PPP3PP/R1BQK2R w KQkq - 0 9
1rbq1rk1/1pp2pbp/p1np1np1/4p3/2PPP3/2N1BP2/PP1Q2PP/R1N1KB1R w KQ - 0 10
1r1r4/4qpk1/R2p2pp/4p1bP/2b1P3/2P2Q2/4BPP1/3R2K1 w - - 0 29
1k1q4/pp5p/6p1/KPP1p3/8/P7/5Q2/8 w - - 1 40
rnb1qrk1/ppp2pbn/3p2p1/3Pp3/2P1P2p/2N1B3/PP2BPPP/R2QKN1R b KQ - 1 11
8/4R3/3p2pk/3N4/3p1P2/1P3rb1/P7/3K4 b - - 8 47
r1bq1rnk/1p5p/p2p3n/2pPp2P/2P1Pp2/2NB1P2/PP1Q1B2/R3K2R w KQ - 1 25
r1q1kb1r/pp3ppp/2n1pn2/3p4/3P1Bb1/1QPB4/PP1N1PPP/R3K1NR w KQkq - 0 9
r2r2k1/p4p2/qpp1n1p1/3pPpPp/3P1P1P/8/PPPQ1B2/1K1R3R w - - 1 22
8/2p2rkp/2Pp2p1/p7/2Pq4/8/P3QPPP/5RK1 b - - 6 33
8/8/3k4/3n2K1/8/8/6r1/4R3 w - - 20 83
r3k2r/1bq1bpp1/pn1pp2p/1pn5/3NPPP1/P1N1BB2/1PP1Q2P/R4RK1 b kq - 8 16
r1bqkb1r/pp2pppp/2np1n2/6B1/3NP3/2N5/PPP2PPP/R2QKB1R b KQkq - 1 6
8/1p2R3/pB3nk1/P5p1/5p2/8/1P2NKP1/3r4 w - - 1 48
r1bk2r1/1pp2p1p/p1np1p2/8/1b2Pn2/5N2/PPP1BPPP/R2Q1R1K w - - 2 15
r1b1k2r/ppp1qppp/3p1n2/1B6/3QP3/2N5/PPP2PPP/2KR3R b kq - 3 10
