FEN,Move
r2qkbnr/pb1p1ppp/1pn1p3/8/3NP3/1P6/P1P1QPPP/RNB1KB1R w KQkq - 3 7,d4c6
rnbq1rk1/ppp1ppbp/6p1/8/3P4/2P3P1/P3PPBP/R1BQK1NR w KQ - 1 8,e2e3
3r1k2/1Q1N4/p4q1p/5pp1/5P2/P2B4/7P/7K b - - 1 38,d8d7
r1b2rk1/4qpbp/p2p4/1p2pp2/2P1P3/N2B1Q2/PP3PPP/R4RK1 b - - 2 15,f8e8
rn1qk2r/pbpp1p2/1p2p2p/6p1/2PPn3/2b1PNB1/PPQ2PPP/R3KB1R w KQkq - 0 10,b2c3
2rN2k1/1b1n3p/1p2q1p1/p7/P1pPp1PB/2P1P2P/2Q5/5RK1 b - - 2 34,e6d5
r7/3bbnkp/q2p1pp1/1ppPp3/n3P1N1/2P1Q1NP/1PB2PP1/2B1R1K1 b - - 9 28,c5c4
3rr1k1/p2n3p/b5q1/Qp1P1pp1/1Pp5/4P1P1/P2N1PBP/2RR2K1 w - - 0 33,d5d6
2rq1r2/3bp2k/1n1p3p/p2P1p2/1pPN1P2/1P2B2P/P5BK/4QR2 w - - 0 24,d4f3
r1bq1rk1/2ppbppp/p1n2n2/1p2p3/4P3/1B3N2/PPPPQPPP/RNB2RK1 w - - 2 8,c2c3
3r3r/p1kn4/1pp3pp/1P2pp1P/P1q5/2P1BQ2/5PP1/3RR1K1 b - - 0 29,f5f4
5k2/5p1p/p6N/2bP4/2P1KP2/8/7P/8 w - - 1 51,h6f5
r1b1kb1r/pp2p2p/n1p3p1/4Pp2/8/P4B2/1PP2PPP/RNBR2K1 w kq - 0 13,b1d2
2kr3r/p3R2p/1b1p1p2/PBnp4/5P2/8/2PB2PP/1R1K4 b - - 0 23,b6c7
r3kb1r/1p1b1ppp/2n1pq2/1BPp4/1P3B2/1QN1P3/P3NnPP/R4RK1 b kq - 1 14,f2g4
r1q3k1/p4ppp/2b2n2/2p1r3/8/1NN3Q1/PPP3PP/3R1R1K b - - 3 21,c8g4
1rq2rk1/1p3pbp/p1bppnp1/2p3B1/P1P1P3/2NP2P1/1PQ2PBP/1R2R1K1 w - - 0 16,b2b4
r1b1k2r/pp1n1ppp/2pbpq2/3p4/2PP2n1/2N1PN2/PPQ2P1P/R1B1KBR1 w Qkq - 2 9,g1g4
7k/2rR3p/1Pp1qp1B/p1p3p1/P3P3/7P/5PP1/6K1 w - - 0 32,d7d8
8/6kp/1r2b1p1/1p4P1/pRp5/P1P1RP2/1KP5/8 w - - 2 34,e3e5
4r1k1/pp3nb1/2p1b1qp/2P1P3/3PNR2/P3Q2P/2P3P1/5R1K b - - 14 32,h6h5
r4rk1/pppbpq2/3p2pp/3P1p2/2P1PP2/1PQ3P1/P5BP/2R1R1K1 b - - 0 18,f5e4
rn1qk2r/pp3ppp/2pb1n2/5p2/P1BP4/2N1P3/1P3PPP/R1BQK2R b KQkq - 0 9,e8g8
3r2k1/1p3pbp/3rp1p1/1b2N3/P2P2P1/4B3/1P3P1P/R1R3K1 b - - 0 31,b5e8
6k1/pbpN1rpp/4p3/4r3/2P2pP1/1P6/P4P1P/R5K1 w - - 0 28,d7e5
