FEN,Move
2r3r1/pp2kpp1/2b1pn1p/8/1qN3P1/3NP1Q1/P4PP1/2R2RK1 b - - 1 22,f6e4
8/6pp/4kb2/4p3/1R2N3/1P4P1/r4PKP/8 w - - 3 28,h2h4
r2qkbnr/1p1b1ppp/p1n1p3/3pP3/3N1P2/2P1B3/PP4PP/RN1QKB1R b KQkq - 0 8,g7g5
2b4k/1nq1r1bp/R2p2p1/2pPP3/2B1NP2/1P2B2P/3Q2P1/6K1 w - - 3 31,e5d6
1r4k1/2qnbpp1/pr2bn1p/3p4/2pP1N1B/2N1PP2/RPB3PP/3Q1RK1 w - - 1 18,d1a1
r1bqkb1r/pp3ppp/2n2n2/2pp4/3P4/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 2 7,f8e7
rnbqk1nr/pp2bppp/8/1Bpp4/3P4/5N2/PPPN1PPP/R1BQK2R b KQkq - 1 6,c8d7
r1bqr1k1/p4ppB/1p5p/3pP3/3n1P2/P7/5NPP/R1BQ1RK1 b - - 0 16,g8h7
r2qr1k1/1bp1bpp1/p2p1n1p/1p6/P2pP3/1B1P2N1/1PP2PPP/R1BQR1K1 w - - 0 14,g3f5
rnbqk2r/ppp2ppp/4p3/3n4/3PP3/5N2/PP1b1PPP/RN1QKB1R w KQkq - 0 7,d1d2
rnbq1rk1/ppp1ppbp/6p1/3n4/8/2N2NP1/PP1PPPBP/R1BQK2R w KQ - 3 7,h2h4
r2q1rk1/pp2bppp/3p1n2/8/2PB2B1/2N5/PP3PPP/R2Q1RK1 b - - 0 12,f6g4
8/p5p1/3kPp1p/1Np2P1P/2n1K3/8/P7/8 b - - 1 52,d6e7
r2r2k1/4ppbp/2p3p1/p1Q1P3/2P5/4B1P1/P2q1P1P/R4RK1 b - - 5 19,d2b4
2k2n2/1pb3Qp/pBq3p1/P4p2/1P6/1B4P1/5P1P/6K1 b - - 16 47,c7b6
r4rk1/2p2pb1/pnn3pp/N3p3/1Pb1P3/q4NP1/3B1PBP/2RQR1K1 b - - 1 17,c6a5
1r2r3/5pkp/p2p2p1/n1pPq3/1pP1P3/6PP/P1Q2PB1/2R1R1K1 b - - 1 25,b4b3
1r3bk1/pb3pp1/1q2p2p/2p5/6Q1/P1B1P3/1PB2PPP/3R2K1 b - - 0 20,b8d8
r2q1rk1/1p1nppbp/2pp1np1/p7/3PP3/PB3N1P/1PP1QPP1/R1B2RK1 b - - 0 11,e7e5
rn1q1rk1/pb3ppp/1p2pn2/3p4/2PP4/P1bB1N2/1P1B1PPP/R2Q1RK1 w - - 0 11,d2c3
r2r2k1/4pp1n/1Bp2qp1/1N1Pbb1p/4p3/1Q5P/P4PP1/2RR1BK1 w - - 0 25,c1c6
8/1p6/2p5/2P2k2/1PP2p1P/Nb1K4/6P1/8 b - - 2 50,b3d1
1k6/1pN5/1R4p1/P3Pn1p/3p3P/3r1PPK/8/8 w - - 1 64,c7b5
r4bk1/5pp1/1p1p4/8/4Pp1P/1q3P2/3RQ2P/3R2K1 b - - 1 37,f8e7
3r1rk1/2R1nq1p/1p4pb/4p3/1p2P3/1P3pPB/PN3P1P/3RQ1K1 b - - 1 27,f7f6
r1bqkb1r/1p3ppp/p1nppn2/6B1/3NP3/2N5/PPPQ1PPP/R3KB1R w KQkq - 0 8,e1c1
r1bq1rk1/1p2npp1/p1pp1n1p/4p3/P1B1P3/2PPNN2/1P3PPP/R2QR1K1 w - - 0 13,a4a5
r1bqkb1r/1p2pppp/p1n2n2/3p4/3P1B2/2NB4/PPP2PPP/R2QK1NR w KQkq - 2 7,c3e2
1rbr2k1/p3bppp/1nBnp3/N7/1P6/P4N2/1BR2PPP/3R2K1 w - - 7 19,f3e5
8/2Q2ppk/p2Pp2p/Kp6/8/8/q7/8 w - - 0 49,a5b6
5r1k/1p5r/p7/Pq1PRp2/5Q2/4p3/1P5P/6RK b - - 2 40,b5b2
1rb2rk1/2q2p2/p1pbp2p/2Pp1p2/3P4/2N3P1/PP2BP1P/1R1Q1RK1 b - - 0 16,d6e7
4R1k1/pQ3pp1/3p2p1/1bqP4/8/5N1P/PP3PP1/6K1 b - - 0 27,b5e8
2rq1rk1/pp1nppbp/4bnp1/2ppN3/3P1BP1/2N1PP1P/PPPQB3/R3K2R w KQ - 2 12,e1c1
r2qk2r/pbpnbpp1/1p2pn1p/3p4/3P3B/3BPN2/PPPN1PPP/R2Q1RK1 w kq - 2 9,a2a4
8/7p/4k3/p1PP2PP/4K3/8/P4b2/8 b - - 0 55,e6d7
r1bq1rk1/p3nppp/1p1bpn2/2p5/3Pp3/2PB1NB1/PP1N1PPP/R2QK2R w KQ - 0 11,d2e4
r3k2r/2pq1pbp/p1npp1p1/1p1nP3/3PNP2/2P1BN1P/PP2Q1P1/3R1RK1 b kq - 0 15,f7f5
1rbq1rk1/5ppp/p1pbpn2/2pp4/Q2P4/2P1PNB1/PP1N1PPP/R3K2R w KQ - 2 11,a4a3
rnbqkb1r/1p2pppp/p2p1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 0 6,a2a3
r2q1rk1/pp1nbppp/2pp2b1/4p1B1/4P1P1/2PP1NNP/PPB2P2/R2QR1K1 b - - 0 15,e7g5
r2q1rk1/pp1nbpp1/2p1pn1p/3p1b2/2P5/1P1P1NP1/PB1NPPBP/R2Q1RK1 w - - 5 10,a2a3
r1bqkb1r/p4p2/2pppn1p/6p1/4P1P1/2N4P/PPP2PB1/R1BQK2R w KQkq - 0 10,e4e5
r2qr1k1/1bpn1pbp/p4np1/1p1pp1B1/P2PP3/1PPB1NN1/5PPP/R2QR1K1 b - - 1 17,d5e4
7k/1p2p1bp/2p1nr2/2PpN1pP/1P1P2Q1/2N1P3/2qB4/3R2K1 w - - 7 36,g4e2
8/2k5/p7/1p1PK3/2p5/2P5/1P6/8 w - - 4 61,e5e6
r4r2/pp4bk/2np2pp/2pNpp2/P3P3/2PP1QPq/1P3P1P/R1B2RK1 w - - 0 17,f3g2
r4r1k/1pn1bqp1/p1n1p2p/2p1p2P/P2pP3/2PPBN1Q/1P3PP1/R3RNK1 w - - 0 24,e3d2
r1b4k/2q1b2N/1pn3p1/p3pr2/4B3/2PQN3/5PPP/R3R1K1 b - - 1 26,c7d7
r1b1r1k1/1p1p1ppp/3b2q1/pQ2p3/8/4B1P1/PP3PBP/2RR2K1 b - - 3 19,e5e4
r1bqkb1r/ppp2ppp/2n3n1/3p2NQ/4p3/1P2P3/PBPP1PPP/RN2KB1R w KQkq - 2 7,b1c3
3q4/pR3p2/6pk/3B3p/4PPr1/2Q3Pb/P6P/6K1 w - - 7 34,g1f2
2r1k2r/p3bp1p/8/1ppN1p1b/3P1P2/1P2PN2/5KPP/2RR4 b k - 0 21,c5c4
4r1k1/p1p3pp/8/r2n4/3RN3/1P4PP/2R2P2/6K1 b - - 4 27,a5b5
4r3/4r3/1p3k2/2p2p1B/2P5/3R2P1/5bK1/7R w - - 0 42,h5e8
br1rq3/5pbk/2p1p1p1/2P1Nn1p/p2P3P/2B3P1/P2RQPB1/3R2K1 w - - 2 29,e2a6
5k2/1b1B1p2/3p1p2/2pPpN1K/2P5/2bP1PP1/7P/8 b - - 4 39,e5e4
r3r1k1/1p1n1p1p/2pBb1p1/2Pp4/8/1P1B1P2/2P2KPP/R3R3 w - - 0 22,g2g4
3rbk2/pp3pp1/7p/1Pb2N2/3p1PP1/3P1K1P/P2B4/1R6 b - - 0 31,e8d7
r2qk2r/pp3ppp/2nb1n2/1BPp2B1/8/4PN2/PP3PPP/RQ1K3R b kq - 0 11,d6c5
4r1k1/4rpbp/pqpp2p1/n1p5/P3P3/2P1NN2/1PQ2PPP/3RR1K1 w - - 0 21,d1d6
r4rk1/3nqppp/1p2pn2/p1b3N1/2N5/PP4P1/1B2PPbP/RQ3RK1 w - - 0 15,g1g2
8/r1p2pkp/1p1p4/1P1Nb1P1/2P5/4PK2/6P1/5R2 b - - 4 35,g7g6
2k2Qr1/1b4Pp/p4p2/1p4P1/2p2q2/P7/1PP2P2/3NK1R1 b - - 2 25,c8c7
r1br2k1/3n1ppp/ppp1pn2/2Pp4/3P4/qPN1PN2/2BB1PPP/3Q1RK1 w - - 0 14,b3b4
4r1k1/5p2/3Q1B2/1p1P2bN/1p2P3/7b/5qPK/6R1 b - - 3 31,h3g4
r2q2k1/pbn1rppp/1p1b4/3p4/3PnN2/1BN1BQ2/PP3PPP/2RR2K1 b - - 8 18,d8d7
5N2/6pk/7p/4Qp2/1P6/5pP1/7q/3R1K2 b - - 0 35,h7h8
2Rr1bk1/pp3p2/6qp/3r2p1/6Q1/2B3PP/PP3P2/4R1K1 w - - 2 28,e1e8
r1bqk2r/1pp2ppp/p1np1n2/2b1p3/P1B1P3/2PP1N2/1P3PPP/RNBQ1RK1 b kq - 0 7,e8g8
r1b2rk1/pp3pp1/1qn1pn1p/1Bpp4/P2P4/2P1PNP1/1P1N1PP1/R2Q1RK1 b - - 1 11,c6e7
4r1k1/p2b1q2/R2P1p1p/8/3n2pP/3N2B1/1P3PP1/2Q3K1 w - - 1 42,d3f4
r3r1k1/bp1q1pp1/p1pp1nnp/P2Pp3/1P2P3/2P2NNP/5PP1/R1BQR1K1 w - - 0 18,c3c4
3r2k1/p4pb1/5q1p/1pp5/6Q1/2P1N1Pp/PP1rRP1P/R5K1 w - - 4 25,a1e1
r2q1rk1/pp2bppp/2n1pn2/2p1P2b/8/5NPP/PPPN1PB1/R1BQR1K1 b - - 0 11,f6d7
8/1K6/4k2p/1pP1p3/6P1/P1nN4/8/8 b - - 2 71,e5e4
3nr3/1ppk1p2/3p1Qp1/8/P4PPP/8/8/6K1 w - - 1 48,h4h5
2r3k1/1p2qp2/pQ2pnp1/P3N1p1/2P5/4P1PP/5PK1/1R6 b - - 4 37,c8c7
r1b2rk1/1p2qpp1/p1n1pn1p/3pN3/2P2B2/3BP3/PP3PPP/R2Q1RK1 b - - 0 13,c6e5
8/3k1p1p/8/3K4/1p1B3P/1B4P1/5P2/4r3 b - - 0 45,f7f5
5rk1/1b1n3p/5pp1/N2p4/Pp3pPP/3P4/1P2PKB1/5R2 b - - 0 28,b7a8
r1b1r1k1/1pq2pbp/2pp1np1/p1n1P3/2PB4/2N2NPP/PPQ2PB1/R2R2K1 b - - 0 14,c8f5
2bq2k1/2n1p2p/1Q1p2p1/1PpP1r2/8/4B3/1b1NBPPP/5RK1 b - - 1 19,f5f8
r1b2q2/p3bpkp/1p1p1np1/2pPp3/P1N1P3/2N3P1/1PP1QP2/R3K2R w KQ - 0 19,a4a5
r1bq1rk1/pp1n4/2pnpb1p/3p1pp1/2PP3P/1PN1BNP1/P3PPB1/R1QR2K1 b - - 0 15,d6f7
2r2k2/Q3b2b/5p2/3q4/2NP1p2/8/5PP1/4R1K1 w - - 0 40,a7e7
1rb5/p2p1kqp/2pP1p2/1pP1pQ2/8/2PB4/P4P1P/5K1R b - - 5 27,g7g6
3q1rk1/1p1nbppp/pNrpb3/P3p3/1P2P3/2N5/2P1BPPP/R2Q1RK1 w - - 1 17,b6d5
r1bq1rk1/pp1nnppp/2pb4/8/2BP4/2N2N1P/PP3PP1/R1BQ1RK1 b - - 2 10,d7b6
r1bq1rk1/pp3pbp/2np1np1/2p1p3/1P2P3/P1PP1NP1/5PBP/RNBQ1RK1 b - - 0 9,a7a6
5rk1/2p3pp/p1Q1p2q/P3N3/1b2P3/5N1P/4nPP1/1r3R1K w - - 0 29,f1b1
r7/6k1/p1np1n2/P3p1p1/1PN1PpP1/2B2Pb1/2B1K3/7R b - - 0 37,a8b8
r1b2rk1/pp1n1pbp/Pq1ppnp1/1Bp5/4P3/2NP1N2/1PP2PPP/R1BQ1RK1 w - - 1 10,a6b7
r5k1/2n1qBpp/2Q5/1p2N3/1b1PpP2/4P2P/1B4P1/6K1 b - - 0 24,g8h8
r4k2/3bnpp1/1q2p3/3pP1QP/P7/1PpB1N2/5P2/4R1K1 b - - 0 27,e7f5
r1bqr1k1/pp2bpp1/2p4p/3n4/3P4/P2B1N1P/1PQ2PP1/R1B1R1K1 w - - 0 16,f3e5
r4rk1/pp2ppbp/3pbnp1/3N4/2P1P3/4BP2/qP1Q2PP/2R1KB1R w K - 0 13,d5e7
2k2b1r/pbprqppp/1p2p3/4P1N1/1nP1B3/8/PP2QPPP/R1B2RK1 w - - 5 14,a2a3
r1bqk2r/pp2npbp/2np2p1/2p1p3/4PP2/3P1NP1/PPP3BP/RNBQ1RK1 w kq - 1 8,c2c3
r7/p4k2/R5p1/4Bp1p/3Pp1Pb/4PP1P/6K1/8 w - - 0 41,g4f5
rnbq1rk1/pp2ppbp/2pp1np1/8/2PPP3/2N1BN2/PP2BPPP/R2QK2R b KQ - 1 7,e7e5
1k1r3r/pp3p2/2pp1Np1/4q2p/4P2P/1PQ2P2/PKP2P2/6R1 w - - 2 24,a2a4
1r2r1k1/5p2/2RP1Qp1/p6p/q6P/3P2P1/5P2/2R3K1 b - - 0 30,a4g4
rnbqk2r/ppp3bp/3p1np1/4pp2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7,d2d3
r4rk1/ppp1npbp/3q2p1/4p3/1N2P3/2P1QB2/PP3PPP/R2R2K1 b - - 4 17,d6e6
1r4k1/5p2/4pBpp/p2b4/2p4P/P1R2P2/2P3P1/6K1 b - - 0 28,g8h7
1n2r1k1/r4pb1/b5p1/4p2p/N3N2P/1P2P3/1BP2PP1/2KR3R w - - 2 21,e4d6
r5k1/2pq1ppp/3p1b2/1p1Pp3/rP2P3/3P1N2/2RQ1PPP/2R3K1 b - - 4 21,f6d8
r1bq1rk1/pp2bppp/2n1pn2/2pp4/4P3/3P1NP1/PPP1QPBP/RNB2RK1 w - - 6 8,e4e5
1rbq1bk1/4rpp1/p2p3p/n1pPp3/BpP5/3P4/1P1N1PPP/R1BQR1K1 b - - 0 20,a5b7
8/8/3p1bk1/2nP1p1p/2P2P1B/7P/2B5/3K4 w - - 7 59,h4e1
rnbq1rk1/pp2ppbp/3p1np1/2p5/2PP4/1P3NP1/PB2PPBP/RN1QK2R b KQ - 0 7,d8a5
1Qqknr2/7R/p3pp2/3p4/3P2P1/5PK1/8/8 w - - 2 45,b8b6
rnbqk2r/pp2bppp/4p3/2p5/3PP3/2P2N2/P4PPP/1RBQKB1R b Kkq - 3 8,e8g8
1k6/5ppp/4p3/8/B3P3/2P5/P2K1PPb/8 w - - 0 30,g2g3
r7/4kp1p/1pbn4/3p2p1/3N4/P4P2/1KP3PP/3R1B2 b - - 1 28,c6b7
r7/p2r2kp/3N1pp1/2P5/3N4/1P2P1Pb/P4P1P/R5K1 b - - 2 29,a7a5
r5k1/2q2pbp/4p1p1/1ppn4/8/3PNQP1/1PPB1PKP/4R3 b - - 1 20,a8d8
5rk1/1b3ppp/p3p3/1p1pq3/1PB1n3/P1P3P1/3NQP1P/2R1R1K1 b - - 0 25,b5c4
r1bqkb1r/1p3ppp/2n1pn2/p1Pp4/8/PP2PN2/2PN1PPP/R1BQKB1R b KQkq - 0 7,f8c5
r2qkb1r/pp1bpppp/2n2n2/1B6/Q1pP4/5N2/PP1N1PPP/R1B1K2R w KQkq - 2 9,f3e5
r2q1r1k/1p2bpp1/1n5p/1P1p1B2/p2P4/4PNP1/5P1P/RQR2K2 w - - 0 23,h2h4
4B3/6pk/8/3p1pp1/1n1P4/4P1PP/3q1P2/5QK1 w - - 0 43,h3h4
rnbqkb1r/pp3ppp/4pn2/2p5/2pP4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 0 6,f1c4
r3kb1r/pb2nppp/1pn1p3/2p5/4PP2/2P2NP1/PP3N1P/R1B1KB1R b KQkq - 2 10,h7h5
r3r1k1/6bq/2p1b3/p1B1p1pB/2P1Pp2/1P6/P3QNK1/3R1R2 b - - 3 29,g5g4
rn2r2k/2p2q1p/2PpN3/1P1Qb3/5PB1/4B2P/6P1/3R2K1 b - - 0 39,e5f6
rn3rk1/2pbbp1p/p2q4/3P1p2/NpBN4/1P3P2/P1PQ3P/2KRR3 b - - 0 18,g8h8
3rnrk1/1b1q1p1p/p2ppbp1/1p2P3/3B4/P2B3Q/1PP2PPP/3RR1K1 w - - 0 21,e5f6
r3k2r/1p3p1p/1p6/pP1PpnRb/P7/2P2q2/3PBP2/R1B1KQ2 b Qkq - 1 19,f3e2
8/p7/5qpk/2b5/4QP2/6P1/P1B3K1/8 b - - 1 37,h6g7
2r3k1/p3R2p/1p5p/2p1Bb2/5P2/P7/6PK/8 b - - 5 38,c5c4
5R2/7p/1kB5/5p2/4pP2/1P6/7r/4K3 w - - 1 58,c6d7
2k4r/6pp/p1p2n2/1p2p2P/4P1q1/1Q1RN3/PPP2P2/2K5 b - - 0 21,g4e4
r1b1r1k1/pp2qppp/n1p5/4p3/4P3/1BQ1B3/PPP2PPP/R3K2R w KQ - 7 14,e1c1
4q3/3b1pk1/p1pp1p1p/2p5/2P2PP1/1PNP1Q2/P4K1P/8 w - - 1 26,c3e4
r1bqkbnr/pp2pppp/8/3p4/1n1PP3/2P5/5PPP/RNBQKBNR b KQkq - 0 6,b4c6
2n1q3/1r2br1k/1pp1bpp1/2n1p2p/2P1PP1P/1PNRB1P1/3Q2B1/3RN1K1 w - - 1 28,e3c5
r1bqk2r/pp2bppp/2n1pn2/2pp4/3P1B2/2PBPN2/PP1N1PPP/R2QK2R b KQkq - 4 7,f6h5
r1r2bk1/q4p2/3ppnpp/PB6/2PP4/4QP1P/5P1B/R3R1K1 b - - 2 25,c8d8
r4rk1/p4ppp/4p3/pbNB4/2p5/P5P1/P3PP1P/2RR2K1 b - - 0 17,e6d5
r1bqk2r/ppp2ppp/2p2n2/2b1p3/4P3/2NP1N2/PPP2PPP/R1BQK2R b KQkq - 1 6,e8g8
6k1/q2n1p1p/1p6/1P5P/8/2Q2N2/5PK1/8 b - - 0 49,h7h6
6k1/p2p4/1pnNp1np/4Pp2/3P1P1q/P2BQ3/1P5P/6K1 w - - 1 29,e3g3
r1q1k1nr/pppbppbp/3p2p1/3Pn3/2P5/1QN2NP1/PP2PPBP/R1B2RK1 b kq - 2 10,h7h5
r3r1k1/2p1n1bp/5pp1/1P2p3/3q4/2NP1b2/2PB1P1P/1R1QR1K1 w - - 0 21,d1f3
6k1/7p/p1p1Q3/q3p2P/7P/P4P2/1PP5/K2n4 b - - 1 38,g8f8
8/5k2/2Np2p1/P2Pp3/4Pp1b/5P2/KPn5/8 b - - 0 50,h4f2
3r1rk1/1p2qpbp/p1n1pnp1/2pp2N1/P1P1PP2/2NPB3/1P4PP/3RQR1K w - - 0 16,e4e5
r1bqr1k1/1ppn1ppp/4pn2/3p4/2PP4/pP1BPN2/P2QNPPP/R3K2R b KQ - 0 12,e6e5
r2q1rk1/pbp1bppp/1pn1pn2/8/2PP1B2/2NB1N2/PP2QPPP/R4RK1 w - - 4 11,a1d1
r2qr1k1/pp2bpp1/2n2n1p/2p1pP2/2P1P3/2N2N2/PP3BPP/R2Q1RK1 w - - 1 16,f1e1
1r3r2/1q3pbk/n1pR2p1/pp2p2p/P3P2P/2N1B1Pb/1PP1QP1K/3R4 w - - 0 22,h2h3
r4rk1/2p4p/1pPbb3/pB1pqp2/P5p1/1N2P1P1/1PR1Q1PP/5RK1 w - - 2 23,b3d4
r5nk/1ppb1rp1/p4p1p/q1pN1P2/4P2Q/P2P1NR1/1PP4P/2K3R1 b - - 4 25,b7b5
rnbqk2r/pp2bppp/4pn2/2pp4/4P3/3P1NP1/PPP1QP1P/RNB1KB1R w KQkq - 0 6,f1g2
4k3/1nB3p1/1P2p2p/1K2N3/3P1P2/6P1/r5P1/8 w - - 7 39,g3g4
1rq3k1/Qb4b1/2p5/3np1N1/2B5/1P3P2/P1P5/1K1R4 w - - 1 30,d1g1
rn2k2r/ppp2pp1/3b1q1p/3p4/3PP3/5N2/PP3PPP/RQ1K1B1R b kq - 0 11,d6e7
2k4r/1p1b1ppp/pB2r3/8/2pR1P2/P1P5/2P3PP/2K4R w - - 4 22,d4c4
rnb2rk1/pp2bppp/8/2pp4/3P4/1P2PN2/PB1K1PPP/R4B1R b - - 0 11,b8c6
8/p3nk2/1r3p2/1p4pp/3N3P/P1P2KP1/1P3P2/4R3 w - - 2 47,h4g5
r1b1r1k1/p1R1N3/qp1ppb1B/7Q/P2PP2P/5P2/1P4P1/R5K1 b - - 0 33,e8e7
4qrk1/1b2b1pp/1p2p3/pP3nP1/2N1P2P/P4N1R/1Q3P2/3RK3 b - - 0 24,b7e4
r2q1rk1/1p2ppbp/p1n2np1/3p1b2/3P1B2/2N1PN1P/PP2BPP1/2RQ1RK1 b - - 3 11,a8c8
r2qkb1r/pp1bpppp/2n5/1Bpp4/5P2/1P2P3/P1PP1KPP/RNBQ3R w kq - 3 8,c1b2
r4rk1/1bq2pb1/p1nppnp1/1pp4p/4PP2/2PPB1PP/PP2NNB1/R2Q1RK1 w - - 1 16,d3d4
rnbqkb1r/pp2pp1p/3p2p1/2p4n/4P3/2N5/PPPPNPP1/R1BQKB1R w KQkq - 0 6,d2d4
r3kb1r/1pqn1ppp/2p2n2/pP1pp3/N2N4/P2PP3/1B1P1PPP/R2QK2R w KQkq - 2 12,b5c6
r1bq1rk1/pp2bppp/2n1p3/2Pn4/8/N4NP1/PP2PPBP/R1BQ1RK1 b - - 0 9,e7c5
r4rk1/Bp1bbppp/8/3p4/1P6/2P3P1/3NPP1P/R4RK1 w - - 1 22,a7d4
r5k1/1b2q1P1/3Rp1p1/2n1B3/5P2/1P6/2P4Q/2K5 w - - 2 28,f4f5
4r1k1/4qpB1/1npp1np1/1p2p2p/3PP3/1PP2PN1/2B2P1P/2Q1R1K1 b - - 0 24,g8g7
2r2k1r/1bq2pp1/p2ppb2/1p6/3nPPP1/1PNBR3/PBPQ4/1K1R4 w - - 3 22,c3e2
4br2/6pk/8/2PQ1P2/6p1/6K1/8/8 w - - 3 48,d5e6
r2r2k1/pp3ppp/2p1pn2/2P4b/2P2B2/1P4P1/1P3PBP/R3R1K1 b - - 0 17,a7a6
7r/8/1p1k1pp1/1b1p2p1/3P2P1/5P2/NP3KP1/2R5 b - - 1 34,b5d7
8/5ppk/5n1p/3p4/P2Qp3/4N2P/1P2bPPK/2qB4 b - - 6 30,e2d1
r1bqr1k1/pppp1ppp/5b2/3P1n2/8/8/PPP2PPP/RNBQRBK1 w - - 1 12,e1e8
2rq1rk1/1p2bppp/p3p1b1/2Pp4/1P1N1B2/nQ2PP1P/4B1P1/2R2RK1 b - - 2 19,a3c4
rnb2rk1/pp3pp1/4pq1p/2p5/1bBP4/2N1PN2/PP3PPP/2RQK2R w K - 0 10,d4c5
1r3bk1/1r2qp1p/6p1/3RP3/Q4P1P/P5P1/6BK/2R5 b - - 0 36,e7a3
7r/4kp1p/p3p3/1pp1b1P1/7P/N1P5/PP2K1P1/7R w - - 0 24,a3c2
4r3/8/pR6/P1B1P3/1Pk1K3/8/8/5r2 w - - 7 80,e5e6
r5k1/p2R1pp1/2q5/4p3/4P3/5P1P/3Q2PK/8 w - - 3 40,d7d6
8/1p3pk1/6p1/PRP5/7p/4PK1P/r5P1/8 w - - 1 41,f3e4
3r4/3Rk1pp/p1p1B3/8/4P3/P4PP1/1r5P/4R1K1 b - - 0 26,d8d7
b5k1/2q2pp1/p1n1pn1p/2N1p3/2P2PP1/1P5P/P1NQ2B1/6K1 w - - 1 30,f4e5
r4rk1/1b2qppp/p7/1p1pp1b1/4P3/2PQ4/PPN1BPPP/R4RK1 w - - 0 17,e4d5
3kb3/1R5p/r2p3r/p2P1p2/2P1pP2/2N1K1P1/P3BP2/8 w - - 1 30,c4c5
1r3rk1/4ppbp/6p1/1p1P1Q2/1P1p4/3P2PP/5PBK/R1R5 b - - 0 26,g6f5
5k2/3r2p1/8/1R2B1Np/p3P1bP/P1K3P1/5n2/8 w - - 5 52,b5b8
rn1qk2r/ppp2pp1/3pbn1p/4p3/2P1P3/2P2PP1/PP3N1P/R1BQKB1R b KQkq - 1 8,a7a5
2r1r3/1bqn1pbk/p1pp1npp/Pp2P3/1PP1P3/3B1NNP/3B1PP1/R1Q1R1K1 b - - 0 20,d6e5
3R2k1/1p2q1p1/2p1bpnp/1p2p3/4Pn2/P1P1BN1P/1PB2PPK/2Q5 b - - 0 24,e7d8
8/6b1/1k2p2p/2p1P2P/2P1K3/2B5/8/8 w - - 31 67,c3e1
8/1p6/4k1p1/p1n2pP1/P1N2P2/1nN1K3/1P6/8 w - - 1 49,c4e5
r4rk1/1ppq1ppp/3p1n2/1P6/3pP2N/1P1P2P1/P4PKP/R2Q1R2 b - - 0 17,d7b5
1r1r3k/p5bp/2p2Qp1/2N1N3/1q1p4/6P1/P4PBP/3R2K1 w - - 3 29,f6g5
6k1/4qpbp/3p4/3PpQ2/6RP/6P1/1r4BK/8 w - - 2 34,h2h3
2k4r/p2rbp1p/2qpb1p1/p7/2P2Q2/2P1B3/4BPPP/3R1RK1 w - - 0 21,d1b1
r1bq1rk1/p1p2pp1/1pnp1n1p/4p3/2P1P3/2PP1N2/P3BPPP/1RBQ1RK1 w - - 0 10,f3e1
r3k2r/1bpnqpb1/pp2p2p/3p2p1/2NPPP2/2PB2P1/PP1NQ1P1/R3K2R w KQkq - 0 15,e4d5
b1rr4/3nbk2/p3p2p/Np1n1pp1/1P6/P2NPB1P/1B3PP1/2RR1K2 w - - 1 27,a5b3
1r2rb1k/1q1n2pp/p4p2/2pN4/2P1pP2/1PB5/P5QP/3R2RK w - - 4 31,d5e3
r1bqk2r/1ppp1ppp/p1B2n2/2b1p3/4P3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 6,d7c6
r7/2p2pk1/4p3/1B6/1r6/2N5/P4RPP/6K1 w - - 5 30,a2a4
8/p1R2pk1/P5pp/r2p4/8/4P1KP/5PP1/8 w - - 2 37,c7a7
2b3k1/r3bp2/2p2Qpp/ppq2P2/4B3/P2P1R2/1P5P/6RK w - - 1 29,f6c6
r1bq1rk1/pp3ppp/1bpp1n2/4n3/P3P3/2P2N2/1PB2PPP/RNBQ1RK1 w - - 0 12,f3e5
rnb1k2r/pp3ppp/4pn2/q5B1/2BNP3/2P5/P4PPP/R2QK2R w KQkq - 1 10,g5d2
r2qk1nr/pp2ppbp/2np2p1/2p2b2/2P5/2N2NP1/PP1PPPBP/R1BQ1RK1 w kq - 2 7,h2h3
5r2/6R1/1p2B3/6kp/4P2n/8/P5P1/6K1 b - - 0 37,g5f6
6r1/2q1kp2/3p1p2/p4P2/Pp2P3/3Q4/P1P3P1/1K1R4 w - - 2 31,d3e2
1r1q1rk1/ppp3pp/1n1bbp2/1P2p3/3P4/P1N1PBP1/5P1P/1RBQ1RK1 w - - 1 15,a3a4
r1bq1rk1/2pnbppp/p2p1n2/1p2p3/3PP3/1BP2N1P/PP3PP1/RNBQR1K1 w - - 1 11,b1d2
2R5/r4ppk/4p2p/8/1p2PP2/1P1n2P1/2RNK2P/r7 b - - 4 36,a7d7
8/2k5/5R2/p1pK4/2P5/1bP5/8/8 w - - 2 64,d5c5
r1b1kb1r/pp2pppp/1qn5/3p2B1/3Pn3/1N3N2/PPP2PPP/R2QKB1R w KQkq - 5 8,g5f4
2rq1k2/1Q1n2bp/p5p1/2p1n3/N2p4/P3rPN1/1P4PP/2R1BR1K w - - 2 25,e1d2
2rqr1k1/1p3pb1/6p1/3PnN1p/4p3/P1N1BP1P/1P1Q2P1/3R1RK1 b - - 0 28,e5c4
4k2r/pp1b1pp1/8/3pPp1p/P2P1P2/1P3N2/1qr3PP/1R2QR1K b k - 4 21,b2c3
r1b1k2r/ppp1qppp/3p1n2/4n1B1/2P5/2Q1PN2/PP3PPP/R3KB1R b KQkq - 0 10,h7h6
